void,subject_id,segment,segment_number,mean_heart_rate,rsp_rate,rsp_peak_freq,resp_amp,rsp_power,mean_ibi,rsa,sdnn,avnn,rmssd,nn50,pnn50,filename
,1,A1,1,67.55,15.25,0.25,146.86,207.52,888.25,6.54,45.26,888.25,53.22,23,35.38,Subject 001 A1.xlsx
,1,A1,2,70.89,16.81,0.28,139.57,191.07,846.41,6.72,47.95,846.41,58.28,25,36.23,Subject 001 A1.xlsx
,1,A1,3,73.53,16.56,0.28,153.36,230.51,816,7.04,58.12,816,57.27,30,41.67,Subject 001 A1.xlsx
,1,A1,4,72.15,16.61,0.28,171.12,268.48,831.65,6.61,54.7,831.65,53.05,22,31.43,Subject 001 A1.xlsx
,1,A1,5,72.52,16.36,0.27,168.49,206.53,827.39,6.73,60.9,827.39,59.58,25,35.71,Subject 001 A1.xlsx
,1,A1,6,72.49,17.48,0.29,122.68,172.74,827.71,6.66,50.21,827.71,57.7,27,38.03,Subject 001 A1.xlsx
,1,A1,7,71.38,15.96,0.27,256.52,262.48,840.56,6.98,49.79,840.56,58.83,26,37.68,Subject 001 A1.xlsx
,1,A1,8,72.34,16.82,0.28,109.22,202.9,829.38,6.59,55.71,829.38,55.06,26,37.14,Subject 001 A1.xlsx
,1,A1,9,69.8,15.25,0.25,103.19,196.14,859.54,7.12,56.15,859.54,60.02,27,39.71,Subject 001 A1.xlsx
,1,A1,10,72.87,16.28,0.27,147.4,177.07,823.33,6.84,46.46,823.33,58.85,28,39.44,Subject 001 A1.xlsx
,1,A2,1,78.72,18.52,0.31,55.02,135.12,762.21,7.63,86.54,762.21,59.03,23,29.87,Subject 001 A2.xlsx
,1,A2,2,73.06,12.84,0.21,93.16,215.47,821.27,7.67,86.45,821.27,56.78,26,36.62,Subject 001 A2.xlsx
,1,A2,3,72.51,17.38,0.29,210.62,318.21,827.51,6.56,58.83,827.51,54.47,28,40,Subject 001 A2.xlsx
,1,A2,4,73.56,16.98,0.28,105.14,247.37,815.71,7.11,72.64,815.71,57.36,26,36.11,Subject 001 A2.xlsx
,1,A2,5,72.01,17.19,0.29,261.89,349.88,833.22,7.09,51.11,833.22,65.12,33,47.14,Subject 001 A2.xlsx
,1,A2,6,74.53,17.03,0.28,275.01,348.37,805.08,6.82,44.33,805.08,55.77,24,33.33,Subject 001 A2.xlsx
,1,A2,7,74.07,16.44,0.27,120.38,233.1,809.99,7.55,54.18,809.99,60.78,24,32.88,Subject 001 A2.xlsx
,1,A2,8,77.97,18.33,0.31,149.63,237.11,769.53,6.8,60.3,769.53,51.49,30,40,Subject 001 A2.xlsx
,1,A2,9,76.96,19.18,0.32,190.21,243.08,779.64,6.47,47.84,779.64,55.35,30,40,Subject 001 A2.xlsx
,1,A2,10,74.43,18.33,0.31,252.37,320.31,806.15,6.79,48.78,806.15,65.06,35,47.95,Subject 001 A2.xlsx
,1,A2,11,77.73,18.37,0.31,147.75,177.61,771.89,6.64,48.64,771.89,52.75,29,38.67,Subject 001 A2.xlsx
,1,A2,12,74.69,17.16,0.29,74.17,139.94,803.36,7.13,75.78,803.36,58.18,27,36.99,Subject 001 A2.xlsx
,1,A2,13,75.54,19.21,0.32,142.73,168.23,794.24,6.31,40.82,794.24,54.14,25,33.78,Subject 001 A2.xlsx
,1,A2,14,75.63,16.91,0.28,60.95,109.29,793.31,6.92,56.37,793.31,58.15,18,47.37,Subject 001 A2.xlsx
,1,A3,1,71.68,16.83,0.28,319.01,413.28,837.08,7.13,52.03,837.08,65.14,32,45.71,Subject 001 A3.xlsx
,1,A3,2,74.48,17.56,0.29,222.6,344.28,805.62,6.69,44.88,805.62,56.74,25,34.72,Subject 001 A3.xlsx
,1,A3,3,73.86,17.46,0.29,112.62,219.83,812.37,7,54.77,812.37,60.83,23,31.94,Subject 001 A3.xlsx
,1,A3,4,77.76,18.14,0.3,193.48,262.15,771.59,6.61,61.59,771.59,52.72,31,40.79,Subject 001 A3.xlsx
,1,A3,5,76.97,18.69,0.31,116.98,205.07,779.49,6.5,47.5,779.49,53.55,28,37.33,Subject 001 A3.xlsx
,1,A3,6,74.22,18.12,0.3,270.43,302.1,808.37,6.79,47.2,808.37,64.17,34,47.22,Subject 001 A3.xlsx
,1,A3,7,77.61,18.57,0.31,170.16,228.2,773.06,6.63,47.89,773.06,53.21,30,39.47,Subject 001 A3.xlsx
,1,A3,8,75.12,16.78,0.28,71.58,131.16,798.72,7.12,77.05,798.72,58.74,27,36.99,Subject 001 A3.xlsx
,1,A3,9,75.32,19.04,0.32,117.72,139.87,796.56,6.35,40.54,796.56,52.4,23,31.51,Subject 001 A3.xlsx
,1,A3,10,75.72,17.73,0.3,79.91,117.59,792.43,6.61,52.33,792.43,57.13,21,42.86,Subject 001 A3.xlsx
,1,A4,1,74.88,17.05,0.28,42.38,78.57,801.3,6.8,64.27,801.3,53.24,32,43.84,Subject 001 A4.xlsx
,1,A4,2,72.52,15.25,0.25,100.27,202.64,827.32,6.85,89.72,827.32,63.07,30,42.25,Subject 001 A4.xlsx
,1,A4,3,72.42,15.08,0.25,106.19,133.21,828.56,7.37,68.28,828.56,56.99,24,34.29,Subject 001 A4.xlsx
