"","Enjoyable","Comforting","Calming","Relaxing","Interesting","Engaging","Provoking","Demanding","Tiresome","Tedious","Stressful","Frustrating","Annoying","Irritating","Boring"
"Enjoyable",1,0.56,0.54,0.54,0.59,0.42,0.14,-0.25,-0.34,-0.42,-0.38,-0.42,-0.54,-0.5,-0.64
"Comforting",0.56,1,0.7,0.72,0.32,0.29,0.09,-0.26,-0.23,-0.48,-0.37,-0.54,-0.4,-0.5,-0.43
"Calming",0.54,0.7,1,0.78,0.31,0.25,0.09,-0.37,-0.35,-0.43,-0.43,-0.51,-0.5,-0.6,-0.36
"Relaxing",0.54,0.72,0.78,1,0.27,0.19,0.05,-0.36,-0.3,-0.45,-0.53,-0.53,-0.4,-0.54,-0.36
"Interesting",0.59,0.32,0.31,0.27,1,0.58,0.19,-0.14,-0.34,-0.37,-0.18,-0.27,-0.45,-0.4,-0.76
"Engaging",0.42,0.29,0.25,0.19,0.58,1,0.23,0.03,-0.27,-0.21,-0.11,-0.22,-0.33,-0.27,-0.61
"Provoking",0.14,0.09,0.09,0.05,0.19,0.23,1,0.03,0.03,-0.07,0.08,0.07,-0.04,-0.02,-0.21
"Demanding",-0.25,-0.26,-0.37,-0.36,-0.14,0.03,0.03,1,0.4,0.36,0.48,0.48,0.4,0.54,0.19
"Tiresome",-0.34,-0.23,-0.35,-0.3,-0.34,-0.27,0.03,0.4,1,0.46,0.38,0.4,0.45,0.51,0.37
"Tedious",-0.42,-0.48,-0.43,-0.45,-0.37,-0.21,-0.07,0.36,0.46,1,0.42,0.56,0.46,0.55,0.48
"Stressful",-0.38,-0.37,-0.43,-0.53,-0.18,-0.11,0.08,0.48,0.38,0.42,1,0.65,0.48,0.56,0.28
"Frustrating",-0.42,-0.54,-0.51,-0.53,-0.27,-0.22,0.07,0.48,0.4,0.56,0.65,1,0.6,0.68,0.37
"Annoying",-0.54,-0.4,-0.5,-0.4,-0.45,-0.33,-0.04,0.4,0.45,0.46,0.48,0.6,1,0.7,0.53
"Irritating",-0.5,-0.5,-0.6,-0.54,-0.4,-0.27,-0.02,0.54,0.51,0.55,0.56,0.68,0.7,1,0.49
"Boring",-0.64,-0.43,-0.36,-0.36,-0.76,-0.61,-0.21,0.19,0.37,0.48,0.28,0.37,0.53,0.49,1
